ID,Ministerie van,Pand,Eigendom/ Huur,Onderhouds status 2020,Gebruiks status 2020,District,Adres,Afdeling/diensten/activiteit,update datum
60,GRONDBELEID EN BOSBEHEER,STINASU,Eigendom van de Staat,Redelijk,in gebruik,Paramaribo,Cornelis Jongbawstraat,Kantoor,17-Aug-20
61,GRONDBELEID EN BOSBEHEER,JSOOC,Eigendom van de Staat,Redelijk,in gebruik,Paramaribo,Cornelis Jongbawstraat  27,Kantoor,17-Aug-20
62,GRONDBELEID EN BOSBEHEER,Hoofdkantoor RGB,Eigendom van de Staat,Slecht,in gebruik,Paramaribo,Cornelis Jongbawstraat  10 - 12,Kantoor,17-Aug-20
63,GRONDBELEID EN BOSBEHEER,Dienst Bodemkartering,Eigendom van de Staat,Slecht,in gebruik,Paramaribo,Titaniumstraat  1 - 4,Kantoor,17-Aug-20
64,GRONDBELEID EN BOSBEHEER,Onderdirectoraat Grondbeheer,Eigendom van de Staat,Goed,in gebruik,Paramaribo,Prins Hendrikstraat 30,Kantoor,17-Aug-20
65,GRONDBELEID EN BOSBEHEER,Onderdirectoraat Bosbeheer,Eigendom van de Staat,Redelijk,in gebruik,Paramaribo,Cornelis Jongbawstraat  33,Kantoor,17-Aug-20
66,GRONDBELEID EN BOSBEHEER,Taxatie/Centraal Bureau Luchtkartering,Eigendom van de Staat,Redelijk,leegstaand,Paramaribo,Maystraat,Kantoor,17-Aug-20
67,GRONDBELEID EN BOSBEHEER,Directeur/secretariaat Directeur,Eigendom van de Staat (Ministerie van Volksgezondheid),Goed,in gebruik,Paramaribo,Henck Arronstraat  64,Kantoor,17-Aug-20
68,GRONDBELEID EN BOSBEHEER,Wilsterman gebouw,Eigendom van de Staat,Slecht,leegstaand,Paramaribo,Grote combe weg,Kantoor,17-Aug-20
69,BINNENLANDSE ZAKEN,Hoofdgebouw BiZa,Eigendom,Goed,in gebruik,Paramaribo,Wilhelminastraat  3,"Min, Dir, OD's",20-Aug-20
70,BINNENLANDSE ZAKEN,Alg. Secr. Verkiezingen,Eigendom,Goed,in gebruik,Paramaribo,Wilhelminastraat  3,"CSFE,ASV,ODAB",20-Aug-20
71,BINNENLANDSE ZAKEN,Oud ODAB gebouw,Eigendom,Heel slecht,in gebruik,Paramaribo,Wilhelminastraat  3,"Type, Beleidskamer, Dir. HRM, Bewaking",20-Aug-20
72,BINNENLANDSE ZAKEN,Monumentaal gebouw,Eigendom,Redelijk,in gebruik,Paramaribo,Wilhelminastraat  3,Bureau Gender,20-Aug-20
73,BINNENLANDSE ZAKEN,Communicatie Unit,Eigendom,Redelijk,in gebruik,Paramaribo,Grote Combeweg  5,Voorlichting,20-Aug-20
74,BINNENLANDSE ZAKEN,Oud CPA gebouw,Eigendom,Heel slecht,leegstaand,Paramaribo,Onafhankelijkheidsplein,Personeel geplaatst in een huurpand,20-Aug-20
75,BINNENLANDSE ZAKEN,Oud NAS gebouw,Huurpand,Goed,in gebruik,Paramaribo,Doekhieweg Oost  18A,Dossiervorming,20-Aug-20
76,BINNENLANDSE ZAKEN,Nationaal Archief,Eigendom,Goed,In gebruik,Paramaribo,Mr. J. Lachmonstraat,Archiefwezen,20-Aug-20
77,BINNENLANDSE ZAKEN,CPA/ODJAR,Huurpand,Goed,in gebruik,Paramaribo,Wagenwegstraat  65,Juridische Aangelegenheden,20-Aug-20
78,BINNENLANDSE ZAKEN,Vorming en Opleiding,Huurpand,Goed,in gebruik,Paramaribo,Wagenwegstraat  48,Overheids personeelsbeleid,20-Aug-20
79,BINNENLANDSE ZAKEN,Hoofdkantoor CBB,Eigendom,Redelijk,in gebruik,Paramaribo,Mr. J. Lachmonstraat,Diverse diensten CBB,20-Aug-20
80,BINNENLANDSE ZAKEN,ID kaarten ea gebouwen,Eigendom,Goed,in gebruik,Paramaribo,Mr. J. Lachmonstraat,Diverse diensten CBB,20-Aug-20
81,BINNENLANDSE ZAKEN,BVB Sipa-Paramaribo,Huurpand,Redelijk,in gebruik,Paramaribo,Dr.S.Redmondstraat  96,Diverse diensten CBB,20-Aug-20
82,BINNENLANDSE ZAKEN,BVB Centrum,Huurpand,Redelijk,in gebruik,Paramaribo,Dr. S. Redmonstraat  96,Diverse diensten CBB,20-Aug-20
83,BINNENLANDSE ZAKEN,BVB Combe,Eigendom,Goed,in gebruik,Paramaribo,V. Sommelsdijckstr  2,Diverse diensten CBB,20-Aug-20
84,BINNENLANDSE ZAKEN,BVB Kwatta,Eigendom,Goed,in gebruik,Paramaribo,Kwattaweg  515,Diverse diensten CBB,20-Aug-20
85,BINNENLANDSE ZAKEN,BVB Latour,Eigendom,Slecht,in gebruik,Paramaribo,Tamanoestraat  12,Diverse diensten CBB,20-Aug-20
86,OPENBARE WERKEN,Hoofd kantoor OW,eigendom,,,Paramaribo,Flora; Mr. Jagernath Lachmonstraat 167,Directoraat Bouwkundige werken en Dienstverlening,
87,OPENBARE WERKEN,Autowerkplaats,eigendom,,,Paramaribo,Flora; Duisburglaan 49,Directoraat Bouwkundige werken en Dienstverlening,
88,OPENBARE WERKEN,Meteorologische dienst,eigendom,,,Paramaribo,Magnesiumstraat 41,Directoraat Civiel Technische Werken,
89,OPENBARE WERKEN,Vuilophaal,eigendom,,,Paramaribo,Flora; Duisburglaan 49,Directoraat Civiel Technische Werken,
