ID,Ministerie van,Pand,Eigendom/ Huur,Onderhouds status 2020,Gebruiks status 2020,District,Adres,Afdeling/diensten/activiteit,update datum
3,ECONOMISCHE ZAKEN ONDERNEMERSCHAP EN TECHNOLOGISCHE INNOVATIE,Dependance Albina,Bruikleen,Redelijk,in gebruik,Albina,Luitenant  Weyneweg  25,"E.C.D. W&Y, IUD, Ondernemerschap",8-Aug-20
93,BUITENLANDSE ZAKEN INTERNATIONAL BUSSINESS EN INTENATIONALE SAMENWERKING,C.G. Amsterdam,Eigendom,Renovatie,,Amsterdam,"Ambasade, De Cuserstraat 11, 1081 CK Amsterdam (Kanselarij)",Onbekend,13-Aug-20
100,BUITENLANDSE ZAKEN INTERNATIONAL BUSSINESS EN INTENATIONALE SAMENWERKING,Amb. Bejing,Gehuurd,,in gebruik,Beijing,"Jianguomenwai Diplomatic Compound Office: 2-2-22 P.O.Box, 10600-9076 Jianguomenwai (Kanselarij)",Onbekend,13-Aug-20
105,BUITENLANDSE ZAKEN INTERNATIONAL BUSSINESS EN INTENATIONALE SAMENWERKING,C.G. Belem,Gehuurd,,in gebruik,Belem,"Avenida Governador Jose Malchar 108, Bairro: Nazare Belem (Kanselarij)",Onbekend,13-Aug-20
103,BUITENLANDSE ZAKEN INTERNATIONAL BUSSINESS EN INTENATIONALE SAMENWERKING,Amb. Brasilia,Gehuurd,,in gebruik,Brasilia,"Shis Q.I. 09 Conjunto 08 Casa 24, Lago Sul, Brasilia- DF, CEP: 71.625.80 (Kanselarij)",Onbekend,13-Aug-20
104,BUITENLANDSE ZAKEN INTERNATIONAL BUSSINESS EN INTENATIONALE SAMENWERKING,Amb . Brasilia,Eigendom,Renovatie,in gebruik,Brasilia,"Shis Q.I. 12 Conjunto 2 Casa 6, Lago Sul Residentie",Onbekend,13-Aug-20
1,ECONOMISCHE ZAKEN ONDERNEMERSCHAP EN TECHNOLOGISCHE INNOVATIE,Dependance Atjoni,Bruikleen,Redelijk,in gebruik,Brokopondo,Commissariaat Sipaliwini,E.C.D. W&Y en Ondernemerschap,8-Aug-20
2,ECONOMISCHE ZAKEN ONDERNEMERSCHAP EN TECHNOLOGISCHE INNOVATIE,Dependance Brokopondo,Bruikleen,Redelijk,in gebruik,Brokopondo,Aloesoebanjaweg 1,Ondernemerschap,8-Aug-20
3,GRONDBELEID EN BOSBEHEER,Brownsweg,Eigendom van de Staat,Slecht,leegstaand,Brokopondo,Secrepatoe,Buitenposten (Jachtopzieners),17-Aug-20
4,BINNENLANDSE ZAKEN,BVB Brokopondo,Geb Min RO,Redelijk,in gebruik,Brokopondo,Brokopondo Centrum,Diverse diensten CBB,20-Aug-20
5,BINNENLANDSE ZAKEN,BVB Sarakreek,Geb Min RO,Slecht,in gebruik,Brokopondo,Sarakreek,Diverse diensten CBB,20-Aug-20
6,BINNENLANDSE ZAKEN,BVB Klaaskreek,Huurpand,Redelijk,in gebruik,Brokopondo,Klaaskreek,Diverse diensten CBB,20-Aug-20
7,BINNENLANDSE ZAKEN,BVB Brownsweg,Geb Min RO,Redelijk,in gebruik,Brokopondo,Brownsweg,Diverse diensten CBB,20-Aug-20
8,BINNENLANDSE ZAKEN,BVB Kwakoegron,Geb Min RO,Redelijk,in gebruik,Brokopondo,Kwakoegron,Diverse diensten CBB,20-Aug-20
9,BINNENLANDSE ZAKEN,BVB Brokopondo,Eigendom,Aanbouw,in aanbouw,Brokopondo,Aloesoebanjaweg,Diverse diensten CBB,20-Aug-20
10,BINNENLANDSE ZAKEN,BVB Klaaskreek,Eigendom,Aanbouw,in aanbouw,Brokopondo,Klaaskreekweg,Diverse diensten CBB,20-Aug-20
11,BINNENLANDSE ZAKEN,BVB Brownsweg,Eigendom,Aanbouw,in aanbouw,Brokopondo,Biri Oedoe Matoe,Diverse diensten CBB,20-Aug-20
12,OPENBARE WERKEN,Afd. Restauratie & Onderhoud,eigendom,,,Brokopondo,Brokopondo; Alusoemanjaweg,Directoraat Bouwkundige werken en Dienstverlening,
13,DEFENSIE,Post Afobakka,"Nog opmeten, Kaart, Aanvraag Ter Beschikking ",Redelijk,in gebruik,Brokopondo,Weg naar Afobakka,Detachement,2-Oct-20
14,DEFENSIE,Kazerne Brownsweg,Aanvraag Ter Beschikking ,Redelijk,in gebruik,Brokopondo,Brownsweg,Kazerne,2-Oct-20
15,ONDERWIJS WETENSCHAP EN CULTUUR,Woning (Jozefzoon Noria),Huurpand,Goed,,Brokopondo,Klaaskreek,Directoraat Onderwijs,2-Oct-20
16,ONDERWIJS WETENSCHAP EN CULTUUR,Stichting Toerisme Ontwikkeling Klaaskreek,Huurpand,Goed,,Brokopondo,Yoribastraat (Klaaskreek),Directoraat Onderwijs,2-Oct-20
17,ONDERWIJS WETENSCHAP EN CULTUUR,Stg. Pinkster gemeente van de wereldwijde Missionairische Beweging (School t.b.v. Basisschool),Huurpand,Redelijk,1 juni 2011-Heden,Brokopondo,Afobakkaweg ter hoogte van paal 63,Directoraat Onderwijs,9-Oct-20
18,ONDERWIJS WETENSCHAP EN CULTUUR,Busjit D. (School t.b.v. Basisschool),Huurpand,Redelijk,okt. 2015-Heden,Brokopondo,Afobakkaweg ter hoogte van paal 63,Directoraat Onderwijs,9-Oct-20
19,BINNENLANDSE ZAKEN,BVB sarakreek,GebMin RO,,Niet geweest,Brokopondo,sarakreek,Onbekend,
20,BINNENLANDSE ZAKEN,BVB kwakoegron,GebMin RO,,Niet geweest,Brokopondo,kwakoegron,Onbekend,
21,LANDBOUW VEETEELT & VISSERIJ,Brokopondo,Eigendom,Goed,,Brokopondo,Hoofdplaats Brokopondo,Onbekend,2015
22,LANDBOUW VEETEELT & VISSERIJ,Kantoor Brownsweg,Eigendom,Slecht,,Brokopondo,Brownsweg,Onbekend,2015
23,LANDBOUW VEETEELT & VISSERIJ,LVV Klaaskreek,,,,Brokopondo,Klaaskreek,Onbekend,2015
95,BUITENLANDSE ZAKEN INTERNATIONAL BUSSINESS EN INTENATIONALE SAMENWERKING,Amb. Brussel,Eigendom,Aan reparatie toe,in gebruik,Brussel,"Franklin Rooseveltlaan 200, 1050, Brussel (Kanselarij)",Onbekend,13-Aug-20
96,BUITENLANDSE ZAKEN INTERNATIONAL BUSSINESS EN INTENATIONALE SAMENWERKING,Amb. Brussel,Eigendom,Zeer slechte staat,in gebruik,Brussel,"Korenbloemenlaan 2, 1640 Sint-genesius-rode (Residentie)",Onbekend,13-Aug-20
109,BUITENLANDSE ZAKEN INTERNATIONAL BUSSINESS EN INTENATIONALE SAMENWERKING,Amb. Caracas,Eigendom,Zeer slechte staat,in gebruik,Caracas,"4a Av. De Altamira, entre 7a y 8a Tranversal, Quinta no. 41, Chacao 1060 (Kanselarij)",Onbekend,13-Aug-20
107,BUITENLANDSE ZAKEN INTERNATIONAL BUSSINESS EN INTENATIONALE SAMENWERKING,C.G. Cayenne,Eigendom,Aan reparatie toe,in gebruik,Cayenne,"3 Avenue Leopold Heder, 97300 Cayenne, Frans Guyana (Kanselarij)",Onbekend,13-Aug-20
1,ECONOMISCHE ZAKEN ONDERNEMERSCHAP EN TECHNOLOGISCHE INNOVATIE,Dependance Commewijne,Bruikleen,Redelijk,in gebruik,Commewijne,Wilhelminastraat  45,E.C.D. en Ondernemerschap,8-Aug-20
2,GRONDBELEID EN BOSBEHEER,Margarita,Eigendom van de Staat,Slecht,leegstaand,Commewijne,Gongrijpstraat 25,Buitenposten (Jachtopzieners),17-Aug-20
3,GRONDBELEID EN BOSBEHEER,Galibi,Eigendom van de Staat,Redelijk,in gebruik,Commewijne,Gongrijpstraat 25,Controle post van de jachtopzieners,17-Aug-20
4,GRONDBELEID EN BOSBEHEER,Gebouw,Eigendom van de Staat,Slecht,leegstaand,Commewijne,Esterslust,Buitenposten (Jachtopzieners),17-Aug-20
7,GRONDBELEID EN BOSBEHEER,Dependance Commewijne,Huur,Goed,in gebruik,Commewijne,Oost - West verbinding (Meerzorg),Kantoor,17-Aug-20
8,GRONDBELEID EN BOSBEHEER,Stolkertsijver,Eigendom van de Staat,Slecht,leegstaand,Commewijne,Oost - West verbindig,Buitenposten (Jachtopzieners),17-Aug-20
9,BINNENLANDSE ZAKEN,BVB Meerzorg,Huurpand,Goed,in gebruik,Commewijne,Oost-West verbinding,Diverse diensten CBB,20-Aug-20
10,BINNENLANDSE ZAKEN,BVB Tamanredjo,Geb Min RO,Redelijk,in gebruik,Commewijne,I. Soemitaweg,Diverse diensten CBB,20-Aug-20
11,BINNENLANDSE ZAKEN,BVB Ellen,Geb Min LVV,Slecht,in gebruik,Commewijne,Bamieweg,Diverse diensten CBB,20-Aug-20
12,BINNENLANDSE ZAKEN,BVB Nieuw- Amsterdam,Geb Min RO,Slecht,in gebruik,Commewijne,Commisariaat Commewijne,Diverse diensten CBB,20-Aug-20
13,BINNENLANDSE ZAKEN,BVB Alliance,Eigendom,Goed,in gebruik,Commewijne,Alliance,Diverse diensten CBB,20-Aug-20
16,OPENBARE WERKEN,Afd. Restauratie & Onderhoud,eigendom,,,Commewijne,Nw Amsterdam; Wilhelminastraat,Directoraat Bouwkundige werken en Dienstverlening,
17,OPENBARE WERKEN,Onderhoud Wegen,eigendom,,,Commewijne,Meerzorg; Hadjding/soemitaweg br 2,Directoraat Civiel Technische Werken,
18,OPENBARE WERKEN,Sluis Margaretha,eigendom,,,Commewijne,Johannastraat,Directoraat Civiel Technische Werken,
19,OPENBARE WERKEN,Sluis  Monstresor,eigendom,,,Commewijne,Meerzorg,Directoraat Civiel Technische Werken,
20,OPENBARE WERKEN,Bindadinsluis,eigendom,,,Commewijne,Meerzorg,Directoraat Civiel Technische Werken,
21,OPENBARE WERKEN,Sieuwsluis,eigendom,,,Commewijne,Meerzorg,Directoraat Civiel Technische Werken,
22,OPENBARE WERKEN,Sluis Alkmaar oost,eigendom,,,Commewijne,Meerzorg,Directoraat Civiel Technische Werken,
23,OPENBARE WERKEN,Sluis Kronenburg,eigendom,,,Commewijne,Reuterweg,Directoraat Civiel Technische Werken,
24,OPENBARE WERKEN,Goede Vriendschap,eigendom,,,Commewijne,Commewijne,Directoraat Civiel Technische Werken,
25,OPENBARE WERKEN,A la Bonheur,eigendom,,,Commewijne,Commewijne,Directoraat Civiel Technische Werken,
26,OPENBARE WERKEN,COMMEWIJNE,zie opm,,,Commewijne,Tamaredjo,Directoraat Openbaar Groen,
27,OPENBARE WERKEN,COMMEWIJNE,zie opm,,,Commewijne,"Alkmaar, Hoofdweg",Directoraat Openbaar Groen,
28,OPENBARE WERKEN,COMMEWIJNE,Eigendom,,,Commewijne,"Meerzorg, Hadji I Soemitaweg nr. 2,",Directoraat Openbaar Groen,
30,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA COMMEWIJNE (Wijk 5),Eigendom van de Staat,,,Commewijne,Welgedacht,Onbekend,29-Sep-20
31,ONDERWIJS WETENSCHAP EN CULTUUR,Woning (Kromodjojo Rewien),Huurpand,,gebruik stopgezet,Commewijne,Plantage Alliance,Directoraat Onderwijs,2-Oct-20
33,ONDERWIJS WETENSCHAP EN CULTUUR,Ahmadia Ishaa't Islam Meerzorg (School t.b.v. O.S. III Meerzorg),Huurpand,Redelijk,1 jan. 2008-Heden (Stilzwijgend),Commewijne,Meerzorg serie A no. 58,Directoraat Onderwijs,9-Oct-20
34,REGIONALE ONTWIKKELING EN SPORT,Bestuursdienst ,Eigendom,Redelijk,in gebruik,Commewijne,Tamanredjo serie D,Onbekend,
35,REGIONALE ONTWIKKELING EN SPORT,Toenmalig recreatiezaal,Eigendom,Redelijk,in gebruik,Commewijne,Pt. Tilakdharieweg ,Onbekend,
36,REGIONALE ONTWIKKELING EN SPORT,Dienstwoning ,Eigendom,Slecht,leegstaand,Commewijne,Kroonenburg,Onbekend,
37,REGIONALE ONTWIKKELING EN SPORT,BO Kantoor,Eigendom,Slecht,leegstaand,Commewijne,Kroonenburg,Onbekend,
38,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning ,Onbekend ,Goed,in gebruik,Commewijne,Hoek Oranjestraat/wilhelminastraat sc 21a,Onbekend,
39,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning ,Onbekend ,Goed,in gebruik,Commewijne,Wilhelminastraat Sc 21a,Onbekend,
40,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning ,Onbekend ,Goed,in gebruik,Commewijne,Wilhelminastraat Sc 39,Onbekend,
41,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning ,Onbekend ,Slecht,in gebruik,Commewijne,Hoek Oranjestraat/wilhelminastraat Sc 19a,Onbekend,
42,REGIONALE ONTWIKKELING EN SPORT,CTD kantoor,Onbekend ,Goed,in gebruik,Commewijne,Wilhelminastraat br. 24,Onbekend,
43,REGIONALE ONTWIKKELING EN SPORT,Bijgebouw CTD,Onbekend ,Goed,in gebruik,Commewijne,Wilhelminastraat Br. 24,Onbekend,
44,REGIONALE ONTWIKKELING EN SPORT,Bibliotheek (Nieuw gebouw CCS),Onbekend ,Goed,in gebruik,Commewijne,Wilhelminastraat br 39,Onbekend,
45,REGIONALE ONTWIKKELING EN SPORT,Complex Commissariaat,Onbekend ,Goed,in gebruik,Commewijne,Wilhelminastraat Br.45,Onbekend,
46,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning ,Onbekend ,Goed,in gebruik,Commewijne,Landingstraat sc 29,Onbekend,
47,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning,Onbekend ,Redelijk ,in gebruik,Commewijne,Landingstraat br. 7,Onbekend,
48,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning,Onbekend ,Goed ,in gebruik,Commewijne,Landingstraat br. 2,Onbekend,
49,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning,Onbekend ,Goed,in gebruik,Commewijne,Landingstraat br. 3,Onbekend,
50,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning,Onbekend ,Goed,in gebruik,Commewijne,Landingstraat br. 7,Onbekend,
51,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning,Onbekend ,Goed,in gebruik,Commewijne,Emmastraat Br. 2,Onbekend,
52,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning,Onbekend ,Goed,in gebruik,Commewijne,Emmastraat Br. 3,Onbekend,
53,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning,Onbekend ,Goed,in gebruik,Commewijne,Emmastraat Br. 7,Onbekend,
54,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning,Onbekend ,Goed,in gebruik,Commewijne,Emmastraat Br. 9,Onbekend,
55,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning,Onbekend ,Goed,in gebruik,Commewijne,Oud Kampement br. 24a,Onbekend,
56,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning,Onbekend ,Redelijk ,in gebruik,Commewijne,Oud Kampement br. 24,Onbekend,
57,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning,Onbekend ,Goed,in gebruik,Commewijne,Oud Kampement br. 25,Onbekend,
58,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning,Onbekend ,Goed,in gebruik,Commewijne,Oud Kampement br. 20,Onbekend,
59,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning,Onbekend ,Goed ,in gebruik,Commewijne,Oud Kampement br. 57,Onbekend,
60,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning,Onbekend ,Slecht ,in gebruik,Commewijne,Oud Kampement br. 13b,Onbekend,
61,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning,Onbekend ,Goed,in gebruik,Commewijne,Weg naar Kampement 1,Onbekend,
62,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning,Onbekend ,Goed,in gebruik,Commewijne,Weg naar Kampement sc 6,Onbekend,
63,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning,Onbekend ,Goed,in gebruik,Commewijne,Weg naar Kampement sc 8,Onbekend,
64,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning,Onbekend ,Goed,in gebruik,Commewijne,Oud Kampement 1,Onbekend,
65,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning,Onbekend ,Goed,in gebruik,Commewijne,Wilhelminastraat br. 60a,Onbekend,
66,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning,Onbekend ,Goed,in gebruik,Commewijne,Wilhelminastraat br. 55,Onbekend,
67,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning,Onbekend ,Goed,in gebruik,Commewijne,Wilhelminastraat sc 5,Onbekend,
68,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning,Onbekend ,Goed,in gebruik,Commewijne,Wilhelminastraat br. 51b,Onbekend,
69,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning,Onbekend ,Goed,in gebruik,Commewijne,Wilhelminastraat sc 9,Onbekend,
70,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning,Onbekend ,Goed,in gebruik,Commewijne,Wilhelminastraat br. 51a,Onbekend,
71,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning,Onbekend ,Goed,in gebruik,Commewijne,Wilhelminastraat sc 6,Onbekend,
72,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning,Onbekend ,Goed,in gebruik,Commewijne,Wilhelminastraat 7,Onbekend,
73,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning,Onbekend ,Goed,in gebruik,Commewijne,Wilhelminastraat sc 1,Onbekend,
74,REGIONALE ONTWIKKELING EN SPORT,Bestuurs kantoor,Onbekend ,slecht,in gebruik,Commewijne,Wilhelminastraat br. 62,Onbekend,
75,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning,Onbekend ,Goed,in gebruik,Commewijne,Wilhelminastraat sc 4,Onbekend,
76,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning,Onbekend ,Goed,in gebruik,Commewijne,Couveelaan br. 5,Onbekend,
77,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning,Onbekend ,Goed,in gebruik,Commewijne,Couveelaan br. 7,Onbekend,
78,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning,Onbekend ,Goed,in gebruik,Commewijne,Couveelaan br.9,Onbekend,
79,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning,Onbekend ,Goed,in gebruik,Commewijne,Couveelaan br. 11,Onbekend,
80,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning,Onbekend ,Goed,in gebruik,Commewijne,Couveelaan br. 13,Onbekend,
81,REGIONALE ONTWIKKELING EN SPORT,Ambtswoning,Eigendom ,Redelijk   ,in gebruik,Commewijne,Weg naar Peprpot  204,Onbekend,
82,REGIONALE ONTWIKKELING EN SPORT,Bestuuskantoor,Eigendom ,slecht,in gebruik,Commewijne,Weg naar Peprpot  235,Onbekend,
83,REGIONALE ONTWIKKELING EN SPORT,Bestuuskantoor,Eigendom ,Redelijk ,in gebruik,Commewijne,Laarwijk,Onbekend,
84,REGIONALE ONTWIKKELING EN SPORT,Dependance Commissariaat,Eigendom ,Goed,in gebruik,Commewijne,Weg naar Peperpot,Onbekend,
85,REGIONALE ONTWIKKELING EN SPORT,Recreatiezaal (BO kantoor),,Slecht ,in gebruik,Commewijne,Johanna & Margretha,Onbekend,
86,REGIONALE ONTWIKKELING EN SPORT,RGD Poli,,Goed,in gebruik,Commewijne,Johanna & Margretha,Onbekend,
90,GRONDBELEID EN BOSBEHEER,Gebouw,Eigendom v.d. Staat,,Niet geweest,Commewijne,Esterslust,Buitenposten [Jachtopzleners)     ,
93,LANDBOUW VEETEELT & VISSERIJ,Visserij Centrum Commewijne,Eigendom,Goed,,Commewijne,Nw amsterdam,Onbekend,2015
94,LANDBOUW VEETEELT & VISSERIJ,Kantoorgebouw Nw. Amsterdam,Eigendom,Goed,,Commewijne,Wilhelminastr BR. 43 Nw. Amsterdam,Onbekend,2015
95,LANDBOUW VEETEELT & VISSERIJ,Kantoorgebouw Tamanredjo,Eigendom,Goed,,Commewijne,H Iding Soemtaweg no. 2 Oost West verbinding,Onbekend,2015
96,LANDBOUW VEETEELT & VISSERIJ,Kantoorgebouw Tamansarie,Eigendom,Goed,,Commewijne,"H Iding Soemtaweg km 13,5 Oost West verbinding",Onbekend,2015
97,LANDBOUW VEETEELT & VISSERIJ,Kantoorgebouw Meerzorg,Eigendom,Goed,,Commewijne,Weg naar Peperpot 233 Meerzorg,Onbekend,2015
98,LANDBOUW VEETEELT & VISSERIJ,Kantoorgebouw Montresor,Eigendom,Slecht,,Commewijne,Montresor  14,Onbekend,2015
99,LANDBOUW VEETEELT & VISSERIJ,Dienstwoning Nw. Amsterdam,Eigendom,Matig,,Commewijne,Couveelaan Br. 5,Onbekend,2015
100,LANDBOUW VEETEELT & VISSERIJ,Kantoorgebouw Kroonenburg,Eigendom,Slecht,,Commewijne,Kroonenburg/rechterover Commewijnerivier,Onbekend,2015
101,FINANCIEN,Kantoor,Huur,Redelijk,,Commewijne,Tamanredjo Serie D no.34,Directoraat Belastingen,2015
102,FINANCIEN,kantoor,Huur,Redelijk,,Commewijne,Tamanredjo Serie D no.34,Directoraat Financiën,2015
91,BINNENLANDSE ZAKEN,BVB alliance,Eigendom,,Niet geweest,Commewijne      ,alliance,Diverse diensten CBB,
29,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA COMMEWIJNE (Wijk 2),Eigendom van de Staat,,,Coomewijne,Soemitaweg  107,Onbekend,29-Sep-20
1,JUSTITIE EN POLITIE,Meldpunt Coronie,Coronie,Redelijk,in gebruik,Coronie,Gusjeost straat,Onbekend,8-Aug-20
2,BINNENLANDSE ZAKEN,BVB Coronie,Geb Min RO,Slecht,in gebruik,Coronie,Geraniumstraat,Diverse diensten CBB,20-Aug-20
3,BINNENLANDSE ZAKEN,BVB Coronie,Eigendom,Aanbouw,in aanbouw,Coronie,Gusje Osstraat,Diverse diensten CBB,20-Aug-20
4,OPENBARE WERKEN,Afd. Restauratie & Onderhoud,eigendom,,,Coronie,Totness; Geutsjorstraat 20,Directoraat Bouwkundige werken en Dienstverlening,
5,OPENBARE WERKEN,Sluis Totness,eigendom,,,Coronie,Totness,Directoraat Civiel Technische Werken,
6,OPENBARE WERKEN,Hulp sluis,eigendom,,,Coronie,Totness,Directoraat Civiel Technische Werken,
7,OPENBARE WERKEN,Sluis John,eigendom,,,Coronie,Jozefschoenmanstraat,Directoraat Civiel Technische Werken,
8,OPENBARE WERKEN,Sluis Les Sous,eigendom,,,Coronie,Oost west verbinding,Directoraat Civiel Technische Werken,
9,OPENBARE WERKEN,Sluis Burnside Oost,eigendom,,,Coronie,Burnside,Directoraat Civiel Technische Werken,
10,OPENBARE WERKEN,Burnside West,eigendom,,,Coronie,Burnside,Directoraat Civiel Technische Werken,
11,OPENBARE WERKEN,CORONIE,Eigendom,,,Coronie,"Gebouw RO, Cusje Ostweg",Directoraat Openbaar Groen,
12,LANDBOUW VEETEELT & VISSERIJ,LVV Cor-proeftuin,Eigendom,,,Coronie,Coppenameweg km 116,Onbekend,2015
13,LANDBOUW VEETEELT & VISSERIJ,LVV Cor-hoofdkantoor,Eigendom,Goed,,Coronie,Geraniumstraat,Onbekend,2015
14,LANDBOUW VEETEELT & VISSERIJ,LVV Cor-voorlichtingsgeb,Eigendom,Goed,,Coronie,Geraniumstraat,Onbekend,2015
15,LANDBOUW VEETEELT & VISSERIJ,LVV Cor-woning,Eigendom,Goed,,Coronie,Cocoslaan,Onbekend,2015
16,LANDBOUW VEETEELT & VISSERIJ,LVV Cor-kantoor Bijenteelt,Eigendom,Slecht,,Coronie,Cocoslaan,Onbekend,2015
17,LANDBOUW VEETEELT & VISSERIJ,LVV Cor-magazijn,Eigendom,Goed,,Coronie,Geraniumstraat,Onbekend,2015
18,LANDBOUW VEETEELT & VISSERIJ,LVV Cor-woning,Eigendom,Matig,,Coronie,Geraniumstraat,Onbekend,2015
19,LANDBOUW VEETEELT & VISSERIJ,LVV Cor-woning,Eigendom,Matig,,Coronie,Geraniumstraat,Onbekend,2015
20,LANDBOUW VEETEELT & VISSERIJ,Lvv Cor-Abbattoir,Eigendom,Goed,,Coronie,Geraniumstraat,Onbekend,2015
21,LANDBOUW VEETEELT & VISSERIJ,Lvv Cor-park/tuin,Eigendom,,,Coronie,Geraniumstraat,Onbekend,2015
22,FINANCIEN,"Sub Betaaldienst
Coronie",Eigendom,Redelijk,,Coronie,Gusje Oststraat,"Directoraat Financiën/Centrale
Betaaldienst",2015
94,BUITENLANDSE ZAKEN INTERNATIONAL BUSSINESS EN INTENATIONALE SAMENWERKING,Amb. Den Haag,Eigendom,Renovatie,,Den Haag,"Alexander Gogelweg 2, 2517 JH Den Haag (Kanselarij)",Onbekend,13-Aug-20
106,BUITENLANDSE ZAKEN INTERNATIONAL BUSSINESS EN INTENATIONALE SAMENWERKING,Amb. Georgetown,Gehuurd,,in gebruik,Georgetown,"54 New Garden & Anira Streets Queenstown, Georgetown (Kanselarij)",Onbekend,13-Aug-20
101,BUITENLANDSE ZAKEN INTERNATIONAL BUSSINESS EN INTENATIONALE SAMENWERKING,Amb. Jakarta,Gehuurd,,in gebruik,Jakarta,"JI.Dhamawangsa VIII no. 16 Kebayoran Baru- Jakarta, Selatan- Postal Code 12160 (Kanselarij)",Onbekend,13-Aug-20
1,TRANSPORT COMMUNICATIE EN TOERISME,Alibina,Eigendom,Redelijk,in gebruik,Marowijne,Albina,Onderhoud,8-Aug-20
5,BINNENLANDSE ZAKEN,BVB Albina,Geb RGD,Goed,in gebruik,Marowijne,Lt. Weyneweg,Diverse diensten CBB,20-Aug-20
6,BINNENLANDSE ZAKEN,BVB Galibi,Geb Min RO,Redelijk,in gebruilk,Marowijne,Galibi,Diverse diensten CBB,20-Aug-20
7,BINNENLANDSE ZAKEN,BVB Moengo,Geb Min RO,Redelijk,in gebruik,Marowijne,Julianaweg,Diverse diensten CBB,20-Aug-20
8,OPENBARE WERKEN,CTW,eigendom,,,Marowijne,Moengo; Commissariaat,Directoraat Civiel Technische Werken,
9,OPENBARE WERKEN,MAROWIJNE,Eigendom,,,Marowijne,"Moengo, Burnsideweg 15",Directoraat Openbaar Groen,
10,OPENBARE WERKEN,MAROWIJNE,Eigendom,,,Marowijne,"Albina, half dakje op terrrein RO",Directoraat Openbaar Groen,
11,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA MAROWIJNE (Centraal Kantoor),Eigendom van de Staat,,,Marowijne,Wilhelminapark ,Onbekend,2-Oct-20
12,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA MAROWIJNE (Wijk 1),Eigendom van de Staat,,,Marowijne,Wilhelminapark ,Onbekend,2-Oct-20
13,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA MAROWIJNE (Wijk 2),Eigendom van de Staat,,,Marowijne,Albina,Onbekend,2-Oct-20
14,SOCIALE ZAKEN EN VOLKSHUISVESTING,DA MAROWIJNE (Wijk 3),Eigendom van de Staat,,,Marowijne,Galibi,Onbekend,2-Oct-20
15,DEFENSIE,Legering Moengo,Aanvraag Ter Beschikking ROGB,Goed/Redelijk,in gebruik,Marowijne,Kapitein Chris Sillosweg,Detachement,2-Oct-20
16,DEFENSIE,Akontoe Velantie Kazerne,Aanvraag Ter Beschikking ROGB,Redelijk/slecht,in gebruik,Marowijne,Tussen verl. Wilhelminastraat en Emmastraat,Kazerne,2-Oct-20
17,DEFENSIE,Dienstwoningen M.P. Albina,Ter beschikking,,,Marowijne,Struikenstraat,Dienstwoning,2-Oct-20
18,DEFENSIE,Legering M.P. Albina,Ter beschikking,Slecht,in gebruik,Marowijne,Hk. Indjipikienstraat en Struikenstraat,Detachement,2-Oct-20
19,DEFENSIE,Woning Cdt. Oost,Aanvraag Ter Beschikking ROGB,Redelijk/Slecht,niet in gebruik,Marowijne,Granpasistraat  21,Woning,2-Oct-20
